snapshot_month,reference,family,msrp_usd,avg_median_price_usd,avg_listing_count,avg_markup_pct,ad_count_us,ad_count_mom_change,avg_price_mom_change_pct
2023-04-01,126711CHNR,GMT-Master II,16150,23624.12,244.25,46.28,298,-3,0.67
2023-04-01,126720VTNR,GMT-Master II,11450,27578.75,263.75,140.86,298,-3,0.94
2023-04-01,226570,Explorer II,9650,13770.75,249.25,42.7,298,-3,1.21
2023-05-01,116500LN,Daytona,14800,36905.25,430.0,149.36,298,0,-2.37
2023-05-01,124060,Submariner,9100,14290.5,239.5,57.04,298,0,-1.42
2023-05-01,124270,Explorer,7250,9900.25,131.0,36.56,298,0,-1.01
2023-05-01,124300,Oyster Perpetual,6400,11633.75,578.75,81.78,298,0,0.65
2023-05-01,126610LN,Submariner Date,10250,16009.38,310.75,56.19,298,0,-1.42
2023-05-01,126610LV,Submariner Date,10800,19075.75,334.0,76.63,298,0,-0.59
2023-05-01,126622,Yacht-Master,12300,17035.88,254.5,38.5,298,0,-1.07
2023-05-01,126710BLNR,GMT-Master II,10900,20118.75,517.0,84.58,298,0,-1.23
2023-05-01,126710BLRO,GMT-Master II,10900,23338.25,429.0,114.11,298,0,-0.9
2023-05-01,126711CHNR,GMT-Master II,16150,23432.0,238.75,45.09,298,0,-0.81
2023-05-01,126720VTNR,GMT-Master II,11450,26691.25,297.75,133.11,298,0,-3.22
2023-05-01,226570,Explorer II,9650,13592.62,260.25,40.86,298,0,-1.29
2023-06-01,116500LN,Daytona,14800,36371.6,489.6,145.75,297,-1,-1.45
2023-06-01,124060,Submariner,9100,14206.8,228.2,56.12,297,-1,-0.59
2023-06-01,124270,Explorer,7250,9814.1,145.4,35.37,297,-1,-0.87
2023-06-01,124300,Oyster Perpetual,6400,11271.0,576.2,76.11,297,-1,-3.12
2023-06-01,126610LN,Submariner Date,10250,15948.1,309.2,55.59,297,-1,-0.38
2023-06-01,126610LV,Submariner Date,10800,18880.6,338.4,74.82,297,-1,-1.02
2023-06-01,126622,Yacht-Master,12300,16848.6,253.8,36.98,297,-1,-1.1
2023-06-01,126710BLNR,GMT-Master II,10900,19866.2,516.6,82.26,297,-1,-1.26
2023-06-01,126710BLRO,GMT-Master II,10900,23206.3,413.2,112.9,297,-1,-0.57
2023-06-01,126711CHNR,GMT-Master II,16150,23355.9,242.6,44.62,297,-1,-0.32
2023-06-01,126720VTNR,GMT-Master II,11450,25835.1,332.0,125.63,297,-1,-3.21
2023-06-01,226570,Explorer II,9650,13414.4,261.6,39.01,297,-1,-1.31
2023-07-01,116500LN,Daytona,14800,36205.5,515.25,144.63,297,0,-0.46
2023-07-01,124060,Submariner,9100,14434.0,223.0,58.62,297,0,1.6
2023-07-01,124270,Explorer,7250,9845.88,132.25,35.81,297,0,0.32
2023-07-01,124300,Oyster Perpetual,6400,11337.12,573.75,77.14,297,0,0.59
2023-07-01,126610LN,Submariner Date,10250,16198.25,320.25,58.03,297,0,1.57
2023-07-01,126610LV,Submariner Date,10800,19123.75,361.75,77.07,297,0,1.29
2023-07-01,126622,Yacht-Master,12300,17084.12,256.75,38.9,297,0,1.4
2023-07-01,126710BLNR,GMT-Master II,10900,20093.0,510.75,84.34,297,0,1.14
2023-07-01,126710BLRO,GMT-Master II,10900,23509.5,399.0,115.68,297,0,1.31
2023-07-01,126711CHNR,GMT-Master II,16150,23614.75,252.25,46.22,297,0,1.11
2023-07-01,126720VTNR,GMT-Master II,11450,25431.25,373.0,122.11,297,0,-1.56
2023-07-01,226570,Explorer II,9650,13581.25,260.75,40.74,297,0,1.24
2023-08-01,116500LN,Daytona,14800,35106.25,518.0,137.2,295,-2,-3.04
2023-08-01,124060,Submariner,9100,14104.5,219.75,54.99,295,-2,-2.28
2023-08-01,124270,Explorer,7250,9621.88,132.25,32.72,295,-2,-2.28
2023-08-01,124300,Oyster Perpetual,6400,11151.5,574.75,74.24,295,-2,-1.64
2023-08-01,126610LN,Submariner Date,10250,15980.38,337.75,55.91,295,-2,-1.35
2023-08-01,126610LV,Submariner Date,10800,18745.25,360.0,73.57,295,-2,-1.98
2023-08-01,126622,Yacht-Master,12300,16784.12,247.5,36.46,295,-2,-1.76
2023-08-01,126710BLNR,GMT-Master II,10900,19656.75,516.5,80.34,295,-2,-2.17
2023-08-01,126710BLRO,GMT-Master II,10900,23188.38,392.75,112.74,295,-2,-1.37
2023-08-01,126711CHNR,GMT-Master II,16150,23024.88,266.75,42.57,295,-2,-2.5
2023-08-01,126720VTNR,GMT-Master II,11450,24593.0,402.25,114.79,295,-2,-3.3
2023-08-01,226570,Explorer II,9650,13308.5,259.25,37.91,295,-2,-2.01
2023-09-01,116500LN,Daytona,14800,34307.8,511.4,131.81,296,1,-2.27
2023-09-01,124060,Submariner,9100,13856.4,229.6,52.27,296,1,-1.76
2023-09-01,124270,Explorer,7250,9498.7,125.8,31.02,296,1,-1.28
2023-09-01,124300,Oyster Perpetual,6400,10779.7,576.6,68.43,296,1,-3.33
2023-09-01,126610LN,Submariner Date,10250,15596.8,351.2,52.16,296,1,-2.4
2023-09-01,126610LV,Submariner Date,10800,18237.2,361.6,68.86,296,1,-2.71
2023-09-01,126622,Yacht-Master,12300,16462.8,242.8,33.84,296,1,-1.91
2023-09-01,126710BLNR,GMT-Master II,10900,19242.6,527.8,76.54,296,1,-2.11
2023-09-01,126710BLRO,GMT-Master II,10900,22825.6,401.2,109.41,296,1,-1.56
2023-09-01,126711CHNR,GMT-Master II,16150,22487.4,275.2,39.24,296,1,-2.33
2023-09-01,126720VTNR,GMT-Master II,11450,23411.7,416.8,104.47,296,1,-4.8
2023-09-01,226570,Explorer II,9650,13096.0,275.4,35.71,296,1,-1.6
2023-10-01,116500LN,Daytona,14800,33495.38,515.5,126.32,295,-1,-2.37
2023-10-01,124060,Submariner,9100,13612.5,249.0,49.59,295,-1,-1.76
2023-10-01,124270,Explorer,7250,9377.38,130.0,29.34,295,-1,-1.28
2023-10-01,124300,Oyster Perpetual,6400,10854.5,575.0,69.6,295,-1,0.69
2023-10-01,126610LN,Submariner Date,10250,15173.5,357.0,48.03,295,-1,-2.71
2023-10-01,126610LV,Submariner Date,10800,17819.62,386.0,65.0,295,-1,-2.29
2023-10-01,126622,Yacht-Master,12300,16198.5,246.75,31.7,295,-1,-1.61
2023-10-01,126710BLNR,GMT-Master II,10900,18759.12,563.75,72.1,295,-1,-2.51
2023-10-01,126710BLRO,GMT-Master II,10900,22469.0,395.25,106.14,295,-1,-1.56
2023-10-01,126711CHNR,GMT-Master II,16150,22168.5,279.25,37.27,295,-1,-1.42
2023-10-01,126720VTNR,GMT-Master II,11450,22515.88,443.0,96.65,295,-1,-3.83
2023-10-01,226570,Explorer II,9650,12929.38,295.0,33.98,295,-1,-1.27
2023-11-01,116500LN,Daytona,14800,33378.0,505.75,125.53,,,-0.35
2023-11-01,124060,Submariner,9100,13639.12,263.75,49.88,,,0.2
2023-11-01,124270,Explorer,7250,9372.5,129.75,29.28,,,-0.05
2023-11-01,124300,Oyster Perpetual,6400,10918.75,574.5,66.34,,,0.59
2023-11-01,126610LN,Submariner Date,10250,15213.75,384.5,48.43,,,0.27
2023-11-01,126610LV,Submariner Date,10800,17726.0,413.25,64.13,,,-0.53
2023-11-01,126622,Yacht-Master,12300,16176.75,249.0,31.52,,,-0.13
2023-11-01,126710BLNR,GMT-Master II,10900,18438.0,323.5,69.16,,,-1.71
2023-11-01,126710BLRO,GMT-Master II,10900,22537.5,384.5,106.77,,,0.3
2023-11-01,126711CHNR,GMT-Master II,16150,22148.75,278.25,37.14,,,-0.09
2023-11-01,126720VTNR,GMT-Master II,11450,22126.0,461.5,93.24,,,-1.73
2023-11-01,226570,Explorer II,9650,12908.0,306.75,33.76,,,-0.17
2023-12-01,116500LN,Daytona,14800,33473.2,463.2,126.17,,,0.29
